Season,Team,Goals,Player,Minutes,Shots,Touches,Woodwork,Offsides,Dispossessions,BCM
12/13,West Brom,17,Romelu Lukaku,2003,97,927,6,42,47,15

13/14,Liverpool,31,Luis Suarez,2964,181,2152,9,33,60,14
13/14,Liverpool,21,Daniel Sturridge,2275,99,1137,5,19,52,11
13/14,Man United,17,Wayne Rooney,2448,101,1975,3,15,65,7
13/14,Fulham,4,Dimitar Berbatov,1568,35,906,1,21,37,6
13/14,Fulham,3,Darren Bent,1239,21,355,2,9,14,7
13/14,West Brom,2,Nicolas Anelka,856,15,460,0,17,20,6
13/14,Man United,12,Robin van Persie,1584,62,659,4,22,27,8
13/14,Tottenham,11,Emmanuel Adebayor,1808,44,1142,29,78,0,9
13/14,Chelsea,5,Fernando Torres,1571,61,768,1,21,36,6
13/14,Man City,17,Sergio Aguero,1539,86,868,2,18,49,11
13/14,Tottenham,3,Harry Kane,499,28,266,0,5,9,8
13/14,Everton,15,Romelu Lukaku,2602,101,1217,0,19,54,6

14/15,Man City,26,Sergio Aguero,2539,148,1413,6,33,89,16
14/15,Tottenham,21,Harry Kane,2581,112,1493,3,34,95,12
14/15,Chelsea,20,Diego Costa,2082,76,1107,2,25,70,7
14/15,Chelsea,4,Didier Drogba,856,30,532,0,12,38,1
14/15,Man United,12,Wayne Rooney,2876,79,2203,2,14,63,1
14/15,Aston Villa,0,Darren Bent,78,1,21,0,2,0,0
14/15,Man United,10,Robin van Persie,2114,76,868,3,20,40,9
14/15,Tottenham,2,Emmanuel Adebayor,814,19,397,0,0,20,3
14/15,Liverpool,4,Daniel Sturridge,750,39,405,2,6,28,3
14/15,Leicester,5,Jamie Vardy,2245,48,876,1,32,21,9
14/15,Arsenal,16,Alexis Sanchez,2949,121,2448,1,8,117,7
14/15,Everton,10,Romelu Lukaku,2875,105,1418,2,36,81,12

15/16,Tottenham,25,Harry Kane,3368,158,1683,7,30,93,18
15/16,Man City,24,Sergio Aguero,2373,119,1261,4,27,101,16
15/16,Leicester,24,Jamie Vardy,3139,115,1132,6,26,27,22
15/16,Man United,8,Wayne Rooney,2410,72,1532,0,15,52,3
15/16,Crystal Palace,1,Emmanuel Adebayor,616,12,338,1,0,26,2
15/16,Liverpool,8,Daniel Sturridge,979,48,499,2,7,32,5
15/16,Chelsea,12,Diego Costa,2379,68,1329,1,33,70,9
15/16,Arsenal,13,Alexis Sanchez,2446,107,2179,5,13,100,11
15/16,Everton,18,Romelu Lukaku,3174,118,1603,7,16,91,18

16/17,Tottenham,29,Harry Kane,2531,110,1116,3,17,48,11
16/17,Everton,25,Romelu Lukaku,3267,110,1517,3,36,87,8
16/17,Arsenal,24,Alexis Sanchez,3223,129,2470,5,27,128,8
16/17,Man United,10,Wayne Rooney,1539,52,1132,1,7,38,6
16/17,Man City,20,Sergio Aguero,2403,139,1325,2,23,67,13
16/17,Liverpool,3,Daniel Sturridge,769,40,409,4,7,17,3
16/17,Chelsea,20,Diego Costa,3089,111,1763,4,26,120,12
16/17,Leicester,13,Jamie Vardy,2808,53,872,1,25,23,6

17/18,Tottenham,30,Harry Kane,3083,184,1263,6,42,60,18
17/18,Man City,21,Sergio Aguero,1969,94,1007,3,16,43,13
17/18,Everton,10,Wayne Rooney,2282,45,1566,1,8,57,5
17/18,Liverpool,2,Daniel Sturridge,547,24,253,0,3,11,1
17/18,Leicester,20,Jamie Vardy,3255,71,842,0,44,13,6
17/18,Man United,9,Alexis Sanchez,2553,88,2165,4,26,83,9
17/18,Man United,16,Romelu Lukaku,2869,86,1128,1,18,48,11
